entities,lang,author_id,source,public_metrics,in_reply_to_user_id,created_at,id,text
"{'mentions': [{'start': 3, 'end': 16, 'username': 'LBriefarchiv', 'id': '2778343994'}, {'start': 77, 'end': 85, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,61145089,TweetDeck,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T18:36:56.000Z,1494742748968194060,RT @LBriefarchiv: Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit un…
"{'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/Gk47oXNt3y', 'expanded_url': 'https://twitter.com/LBriefarchiv/status/1494742636112060420/photo/1', 'display_url': 'pic.twitter.com/Gk47oXNt3y'}, {'start': 272, 'end': 295, 'url': 'https://t.co/Gk47oXNt3y', 'expanded_url': 'https://twitter.com/LBriefarchiv/status/1494742636112060420/photo/1', 'display_url': 'pic.twitter.com/Gk47oXNt3y'}, {'start': 272, 'end': 295, 'url': 'https://t.co/Gk47oXNt3y', 'expanded_url': 'https://twitter.com/LBriefarchiv/status/1494742636112060420/photo/1', 'display_url': 'pic.twitter.com/Gk47oXNt3y'}], 'hashtags': [{'start': 209, 'end': 217, 'tag': 'dhd2022'}, {'start': 218, 'end': 221, 'tag': 'DH'}, {'start': 222, 'end': 237, 'tag': 'CitizenScience'}, {'start': 238, 'end': 251, 'tag': 'GrussUndKuss'}, {'start': 252, 'end': 271, 'tag': 'LoveLetterResearch'}], 'mentions': [{'start': 59, 'end': 67, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,2778343994,TweetDeck,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 22, 'quote_count': 0}",,2022-02-18T18:36:30.000Z,1494742636112060420,"Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit uns darüber austauschen, dann könnt ihr euch noch kostenlos zur (Online-)Tagung anmelden!
#dhd2022 #DH #CitizenScience #GrussUndKuss #LoveLetterResearch https://t.co/Gk47oXNt3y"
"{'hashtags': [{'start': 120, 'end': 127, 'tag': 'TikTok'}, {'start': 155, 'end': 163, 'tag': 'dhd2022'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'Mareike2405', 'id': '250558059'}, {'start': 13, 'end': 21, 'username': 'dhd2022', 'id': '724702270890323968'}, {'start': 176, 'end': 190, 'username': 'torstenroeder', 'id': '74977676'}]}",de,61145089,TweetDeck,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",250558059.0,2022-02-18T18:14:26.000Z,1494737086372585480,"@Mareike2405 @dhd2022 Ich glaube, es sind einige da drüben auf Instagram... Und einige sogar auf TikTok ;) Und vll wird #TikTok auch eine Rolle auf dieser #dhd2022 spielen 
cc @torstenroeder"
"{'mentions': [{'start': 3, 'end': 15, 'username': 'Mareike2405', 'id': '250558059'}]}",de,934565197423038465,Twitter for Android,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T17:45:07.000Z,1494729706436022278,"RT @Mareike2405: Hier ist ja wahrscheinlich niemand, die/der auch zugleich bei Insta ist - aber falls doch oder wenn Ihr jemanden kennt: di…"
"{'mentions': [{'start': 3, 'end': 15, 'username': 'Mareike2405', 'id': '250558059'}]}",de,61145089,TweetDeck,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T17:29:52.000Z,1494725867884404744,"RT @Mareike2405: Hier ist ja wahrscheinlich niemand, die/der auch zugleich bei Insta ist - aber falls doch oder wenn Ihr jemanden kennt: di…"
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,1167001976518975488,Twitter for iPhone,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T15:59:36.000Z,1494703151596855296,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,250558059,TweetDeck,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T15:11:59.000Z,1494691169879613440,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
"{'urls': [{'start': 197, 'end': 220, 'url': 'https://t.co/i7Zj3g1ebD', 'expanded_url': 'https://www.instagram.com/dhd_2022/', 'display_url': 'instagram.com/dhd_2022/'}, {'start': 248, 'end': 271, 'url': 'https://t.co/bftMFGwmP8', 'expanded_url': 'https://twitter.com/Mareike2405/status/1494684094554329091/photo/1', 'display_url': 'pic.twitter.com/bftMFGwmP8'}], 'hashtags': [{'start': 239, 'end': 247, 'tag': 'dhd2022'}], 'mentions': [{'start': 150, 'end': 158, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,250558059,TweetDeck,"{'retweet_count': 4, 'reply_count': 3, 'like_count': 14, 'quote_count': 1}",,2022-02-18T14:43:52.000Z,1494684094554329091,"Hier ist ja wahrscheinlich niemand, die/der auch zugleich bei Insta ist - aber falls doch oder wenn Ihr jemanden kennt: die Reisestipendiat:innen der @dhd2022 haben drüben einen Account eröffnet - https://t.co/i7Zj3g1ebD - bald geht's los #dhd2022 https://t.co/bftMFGwmP8"
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,1463417094549037059,Twitter Web App,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T07:49:26.000Z,1494579798965997568,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,974713914545135616,Twitter for iPhone,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T06:56:00.000Z,1494566353067560996,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
